count,date,dose_one,dose_two,time_slot
260373.0,2021-05-17,221022.0,221022.0,12:00-13:00
103602.0,2021-05-17,86209.0,86209.0,16:00-17:00
181194.0,2021-05-17,153502.0,153502.0,10:00-11:00
54862.0,2021-05-17,45118.0,45118.0,09:00-10:00
808.0,2021-05-17,490.0,490.0,07:00-08:00
262409.0,2021-05-17,222657.0,222657.0,11:00-12:00
202581.0,2021-05-17,173455.0,173455.0,13:00-14:00
173665.0,2021-05-17,148658.0,148658.0,14:00-15:00
157245.0,2021-05-17,132353.0,132353.0,15:00-16:00
6236.0,2021-05-17,4407.0,4407.0,08:00-09:00
46358.0,2021-05-17,36704.0,36704.0,17:00-18:00
12890.0,2021-05-17,9702.0,9702.0,19:00-20:00
7832.0,2021-05-17,6024.0,6024.0,20:00-21:00
5006.0,2021-05-17,3996.0,3996.0,22:00-23:00
6739.0,2021-05-17,5324.0,5324.0,21:00-22:00
20801.0,2021-05-17,16049.0,16049.0,18:00-19:00
96019.0,2021-05-16,87254.0,87254.0,13:00-14:00
3387.0,2021-05-16,2660.0,2660.0,20:00-21:00
5032.0,2021-05-16,4151.0,4151.0,19:00-20:00
7428.0,2021-05-16,6190.0,6190.0,18:00-19:00
15072.0,2021-05-16,12821.0,12821.0,17:00-18:00
39297.0,2021-05-16,35342.0,35342.0,16:00-17:00
62075.0,2021-05-16,54555.0,54555.0,15:00-16:00
77508.0,2021-05-16,69858.0,69858.0,14:00-15:00
92897.0,2021-05-16,83737.0,83737.0,10:00-11:00
120616.0,2021-05-16,108775.0,108775.0,12:00-13:00
132617.0,2021-05-16,119220.0,119220.0,11:00-12:00
26098.0,2021-05-16,23439.0,23439.0,09:00-10:00
964.0,2021-05-16,639.0,639.0,08:00-09:00
89.0,2021-05-16,5.0,5.0,07:00-08:00
1541.0,2021-05-16,1290.0,1290.0,22:00-23:00
1659.0,2021-05-16,1321.0,1321.0,21:00-22:00
1065.0,2021-05-15,793.0,793.0,22:00-23:00
1281.0,2021-05-15,815.0,815.0,21:00-22:00
327.0,2021-05-15,79.0,79.0,07:00-08:00
196314.0,2021-05-15,131780.0,131780.0,14:00-15:00
7003.0,2021-05-15,3471.0,3471.0,08:00-09:00
8728.0,2021-05-15,5090.0,5090.0,20:00-21:00
15981.0,2021-05-15,10065.0,10065.0,19:00-20:00
25478.0,2021-05-15,16417.0,16417.0,18:00-19:00
118031.0,2021-05-15,76146.0,76146.0,16:00-17:00
175599.0,2021-05-15,115024.0,115024.0,15:00-16:00
54184.0,2021-05-15,34487.0,34487.0,17:00-18:00
238602.0,2021-05-15,158210.0,158210.0,13:00-14:00
304945.0,2021-05-15,195921.0,195921.0,12:00-13:00
304165.0,2021-05-15,198013.0,198013.0,11:00-12:00
218819.0,2021-05-15,144757.0,144757.0,10:00-11:00
68770.0,2021-05-15,44929.0,44929.0,09:00-10:00
122719.0,2021-05-14,72335.0,72335.0,14:00-15:00
5350.0,2021-05-14,3331.0,3331.0,08:00-09:00
236.0,2021-05-14,120.0,120.0,07:00-08:00
136849.0,2021-05-14,79314.0,79314.0,10:00-11:00
195206.0,2021-05-14,111420.0,111420.0,11:00-12:00
40610.0,2021-05-14,23306.0,23306.0,09:00-10:00
194931.0,2021-05-14,111338.0,111338.0,12:00-13:00
156880.0,2021-05-14,90325.0,90325.0,13:00-14:00
35528.0,2021-05-14,20335.0,20335.0,17:00-18:00
109030.0,2021-05-14,60534.0,60534.0,15:00-16:00
67956.0,2021-05-14,37946.0,37946.0,16:00-17:00
15741.0,2021-05-14,8987.0,8987.0,18:00-19:00
9078.0,2021-05-14,5356.0,5356.0,19:00-20:00
5811.0,2021-05-14,3208.0,3208.0,20:00-21:00
5463.0,2021-05-14,2993.0,2993.0,21:00-22:00
4198.0,2021-05-14,1990.0,1990.0,22:00-23:00
221481.0,2021-05-13,116268.0,116268.0,14:00-15:00
11994.0,2021-05-13,5006.0,5006.0,21:00-22:00
14135.0,2021-05-13,7124.0,7124.0,20:00-21:00
18065.0,2021-05-13,8623.0,8623.0,19:00-20:00
31555.0,2021-05-13,15587.0,15587.0,18:00-19:00
64238.0,2021-05-13,34037.0,34037.0,17:00-18:00
147246.0,2021-05-13,76099.0,76099.0,16:00-17:00
208424.0,2021-05-13,108214.0,108214.0,15:00-16:00
8941.0,2021-05-13,3758.0,3758.0,22:00-23:00
262371.0,2021-05-13,135597.0,135597.0,13:00-14:00
351288.0,2021-05-13,174034.0,174034.0,11:00-12:00
248693.0,2021-05-13,129902.0,129902.0,10:00-11:00
75528.0,2021-05-13,42544.0,42544.0,09:00-10:00
8327.0,2021-05-13,5087.0,5087.0,08:00-09:00
289.0,2021-05-13,77.0,77.0,07:00-08:00
343318.0,2021-05-13,169425.0,169425.0,12:00-13:00
201670.0,2021-05-12,105928.0,105928.0,15:00-16:00
10273.0,2021-05-12,5180.0,5180.0,21:00-22:00
11749.0,2021-05-12,5508.0,5508.0,20:00-21:00
7389.0,2021-05-12,3368.0,3368.0,22:00-23:00
17998.0,2021-05-12,9117.0,9117.0,19:00-20:00
31927.0,2021-05-12,15705.0,15705.0,18:00-19:00
67277.0,2021-05-12,33530.0,33530.0,17:00-18:00
142570.0,2021-05-12,72540.0,72540.0,16:00-17:00
210761.0,2021-05-12,112662.0,112662.0,14:00-15:00
249307.0,2021-05-12,130091.0,130091.0,13:00-14:00
317358.0,2021-05-12,165119.0,165119.0,12:00-13:00
320916.0,2021-05-12,168620.0,168620.0,11:00-12:00
218876.0,2021-05-12,123882.0,123882.0,10:00-11:00
66055.0,2021-05-12,39206.0,39206.0,09:00-10:00
6796.0,2021-05-12,3958.0,3958.0,08:00-09:00
290.0,2021-05-12,54.0,54.0,07:00-08:00
254098.0,2021-05-11,119222.0,119222.0,15:00-16:00
8310.0,2021-05-11,3792.0,3792.0,08:00-09:00
87745.0,2021-05-11,42780.0,42780.0,09:00-10:00
288754.0,2021-05-11,132774.0,132774.0,10:00-11:00
410288.0,2021-05-11,179951.0,179951.0,11:00-12:00
422960.0,2021-05-11,182757.0,182757.0,12:00-13:00
322135.0,2021-05-11,144394.0,144394.0,13:00-14:00
271587.0,2021-05-11,121939.0,121939.0,14:00-15:00
689.0,2021-05-11,156.0,156.0,07:00-08:00
174080.0,2021-05-11,77451.0,77451.0,16:00-17:00
82313.0,2021-05-11,36461.0,36461.0,17:00-18:00
41678.0,2021-05-11,17907.0,17907.0,18:00-19:00
23828.0,2021-05-11,10480.0,10480.0,19:00-20:00
18722.0,2021-05-11,7657.0,7657.0,20:00-21:00
13697.0,2021-05-11,5866.0,5866.0,21:00-22:00
6513.0,2021-05-11,2639.0,2639.0,22:00-23:00
350469.0,2021-05-10,149333.0,149333.0,13:00-14:00
738.0,2021-05-10,62.0,62.0,07:00-08:00
7642.0,2021-05-10,1873.0,1873.0,08:00-09:00
79784.0,2021-05-10,36183.0,36183.0,09:00-10:00
268068.0,2021-05-10,120144.0,120144.0,10:00-11:00
402482.0,2021-05-10,172178.0,172178.0,11:00-12:00
421867.0,2021-05-10,178234.0,178234.0,12:00-13:00
184736.0,2021-05-10,78741.0,78741.0,16:00-17:00
293769.0,2021-05-10,132257.0,132257.0,14:00-15:00
90524.0,2021-05-10,37783.0,37783.0,17:00-18:00
42907.0,2021-05-10,16888.0,16888.0,18:00-19:00
27725.0,2021-05-10,11057.0,11057.0,19:00-20:00
20152.0,2021-05-10,8111.0,8111.0,20:00-21:00
16902.0,2021-05-10,6685.0,6685.0,21:00-22:00
12683.0,2021-05-10,4956.0,4956.0,22:00-23:00
266919.0,2021-05-10,116599.0,116599.0,15:00-16:00
72701.0,2021-05-09,46221.0,46221.0,14:00-15:00
83.0,2021-05-09,43.0,43.0,07:00-08:00
1601.0,2021-05-09,841.0,841.0,08:00-09:00
27266.0,2021-05-09,16675.0,16675.0,09:00-10:00
125921.0,2021-05-09,70927.0,70927.0,11:00-12:00
123793.0,2021-05-09,72531.0,72531.0,12:00-13:00
93035.0,2021-05-09,56855.0,56855.0,13:00-14:00
94056.0,2021-05-09,52947.0,52947.0,10:00-11:00
60968.0,2021-05-09,37974.0,37974.0,15:00-16:00
17992.0,2021-05-09,10216.0,10216.0,17:00-18:00
9738.0,2021-05-09,5255.0,5255.0,18:00-19:00
5414.0,2021-05-09,2576.0,2576.0,19:00-20:00
5095.0,2021-05-09,2401.0,2401.0,20:00-21:00
4261.0,2021-05-09,1937.0,1937.0,21:00-22:00
2947.0,2021-05-09,1387.0,1387.0,22:00-23:00
42040.0,2021-05-09,25496.0,25496.0,16:00-17:00
134685.0,2021-05-08,58847.0,58847.0,16:00-17:00
258777.0,2021-05-08,106648.0,106648.0,10:00-11:00
363230.0,2021-05-08,142220.0,142220.0,11:00-12:00
355137.0,2021-05-08,139432.0,139432.0,12:00-13:00
263972.0,2021-05-08,108149.0,108149.0,13:00-14:00
211325.0,2021-05-08,93637.0,93637.0,14:00-15:00
187249.0,2021-05-08,83112.0,83112.0,15:00-16:00
13374.0,2021-05-08,5674.0,5674.0,20:00-21:00
68912.0,2021-05-08,30090.0,30090.0,17:00-18:00
30415.0,2021-05-08,13495.0,13495.0,18:00-19:00
17457.0,2021-05-08,7354.0,7354.0,19:00-20:00
11111.0,2021-05-08,4483.0,4483.0,21:00-22:00
9477.0,2021-05-08,3754.0,3754.0,22:00-23:00
3235.0,2021-05-08,1170.0,1170.0,08:00-09:00
79546.0,2021-05-08,34835.0,34835.0,09:00-10:00
11400.0,2021-05-07,4850.0,4850.0,22:00-23:00
398.0,2021-05-07,130.0,130.0,07:00-08:00
77501.0,2021-05-07,35849.0,35849.0,09:00-10:00
17764.0,2021-05-07,8057.0,8057.0,20:00-21:00
5703.0,2021-05-07,2156.0,2156.0,08:00-09:00
262049.0,2021-05-07,111684.0,111684.0,10:00-11:00
382600.0,2021-05-07,155944.0,155944.0,11:00-12:00
387202.0,2021-05-07,157678.0,157678.0,12:00-13:00
308819.0,2021-05-07,126995.0,126995.0,13:00-14:00
259465.0,2021-05-07,114974.0,114974.0,14:00-15:00
235957.0,2021-05-07,109032.0,109032.0,15:00-16:00
163259.0,2021-05-07,78356.0,78356.0,16:00-17:00
81891.0,2021-05-07,37890.0,37890.0,17:00-18:00
39804.0,2021-05-07,17935.0,17935.0,18:00-19:00
26913.0,2021-05-07,12229.0,12229.0,19:00-20:00
16044.0,2021-05-07,6976.0,6976.0,21:00-22:00
7182.0,2021-05-06,2436.0,2436.0,08:00-09:00
85416.0,2021-05-06,37777.0,37777.0,09:00-10:00
669.0,2021-05-06,247.0,247.0,07:00-08:00
279028.0,2021-05-06,119058.0,119058.0,10:00-11:00
89121.0,2021-05-06,43810.0,43810.0,17:00-18:00
400297.0,2021-05-06,169312.0,169312.0,11:00-12:00
11452.0,2021-05-06,5342.0,5342.0,22:00-23:00
14743.0,2021-05-06,6956.0,6956.0,21:00-22:00
27428.0,2021-05-06,12754.0,12754.0,19:00-20:00
42051.0,2021-05-06,21099.0,21099.0,18:00-19:00
19426.0,2021-05-06,9296.0,9296.0,20:00-21:00
160581.0,2021-05-06,77098.0,77098.0,16:00-17:00
240102.0,2021-05-06,114246.0,114246.0,15:00-16:00
258714.0,2021-05-06,122479.0,122479.0,14:00-15:00
311735.0,2021-05-06,137391.0,137391.0,13:00-14:00
402837.0,2021-05-06,173678.0,173678.0,12:00-13:00
943.0,2021-05-05,149.0,149.0,07:00-08:00
205943.0,2021-05-05,97762.0,97762.0,15:00-16:00
5724.0,2021-05-05,2086.0,2086.0,08:00-09:00
61351.0,2021-05-05,31055.0,31055.0,09:00-10:00
211316.0,2021-05-05,98471.0,98471.0,10:00-11:00
322913.0,2021-05-05,142102.0,142102.0,11:00-12:00
330257.0,2021-05-05,147202.0,147202.0,12:00-13:00
266720.0,2021-05-05,121033.0,121033.0,13:00-14:00
219321.0,2021-05-05,103202.0,103202.0,14:00-15:00
21793.0,2021-05-05,11010.0,11010.0,19:00-20:00
141854.0,2021-05-05,68615.0,68615.0,16:00-17:00
74829.0,2021-05-05,36795.0,36795.0,17:00-18:00
35319.0,2021-05-05,17772.0,17772.0,18:00-19:00
17571.0,2021-05-05,8928.0,8928.0,20:00-21:00
14312.0,2021-05-05,7189.0,7189.0,21:00-22:00
10024.0,2021-05-05,4852.0,4852.0,22:00-23:00
10948.0,2021-05-04,5975.0,5975.0,20:00-21:00
205626.0,2021-05-04,104383.0,104383.0,13:00-14:00
14494.0,2021-05-04,8122.0,8122.0,19:00-20:00
18583.0,2021-05-04,8904.0,8904.0,18:00-19:00
41593.0,2021-05-04,22678.0,22678.0,17:00-18:00
92665.0,2021-05-04,50309.0,50309.0,16:00-17:00
148362.0,2021-05-04,78313.0,78313.0,15:00-16:00
173154.0,2021-05-04,92153.0,92153.0,14:00-15:00
6656.0,2021-05-04,3416.0,3416.0,22:00-23:00
264879.0,2021-05-04,135000.0,135000.0,12:00-13:00
261876.0,2021-05-04,136782.0,136782.0,11:00-12:00
166529.0,2021-05-04,93312.0,93312.0,10:00-11:00
48464.0,2021-05-04,28561.0,28561.0,09:00-10:00
3601.0,2021-05-04,1836.0,1836.0,08:00-09:00
313.0,2021-05-04,197.0,197.0,07:00-08:00
10231.0,2021-05-04,5671.0,5671.0,21:00-22:00
29835.0,2021-05-03,15311.0,15311.0,18:00-19:00
21368.0,2021-05-03,11205.0,11205.0,19:00-20:00
14712.0,2021-05-03,7735.0,7735.0,21:00-22:00
275468.0,2021-05-03,128752.0,128752.0,11:00-12:00
10854.0,2021-05-03,5203.0,5203.0,22:00-23:00
15244.0,2021-05-03,7821.0,7821.0,20:00-21:00
187.0,2021-05-03,106.0,106.0,07:00-08:00
3016.0,2021-05-03,1547.0,1547.0,08:00-09:00
180264.0,2021-05-03,85841.0,85841.0,10:00-11:00
49270.0,2021-05-03,25315.0,25315.0,09:00-10:00
297200.0,2021-05-03,141288.0,141288.0,12:00-13:00
236758.0,2021-05-03,115487.0,115487.0,13:00-14:00
202425.0,2021-05-03,103668.0,103668.0,14:00-15:00
177739.0,2021-05-03,90519.0,90519.0,15:00-16:00
119399.0,2021-05-03,61859.0,61859.0,16:00-17:00
57505.0,2021-05-03,30725.0,30725.0,17:00-18:00
86774.0,2021-05-02,52839.0,52839.0,12:00-13:00
12643.0,2021-05-02,7428.0,7428.0,17:00-18:00
27553.0,2021-05-02,17053.0,17053.0,16:00-17:00
43474.0,2021-05-02,26495.0,26495.0,15:00-16:00
52995.0,2021-05-02,33536.0,33536.0,14:00-15:00
63921.0,2021-05-02,40256.0,40256.0,13:00-14:00
3441.0,2021-05-02,2277.0,2277.0,22:00-23:00
86315.0,2021-05-02,52808.0,52808.0,11:00-12:00
59452.0,2021-05-02,37055.0,37055.0,10:00-11:00
17163.0,2021-05-02,10972.0,10972.0,09:00-10:00
549.0,2021-05-02,340.0,340.0,08:00-09:00
41.0,2021-05-02,24.0,24.0,07:00-08:00
4486.0,2021-05-02,2686.0,2686.0,20:00-21:00
5244.0,2021-05-02,3105.0,3105.0,19:00-20:00
8743.0,2021-05-02,5401.0,5401.0,18:00-19:00
4333.0,2021-05-02,2467.0,2467.0,21:00-22:00
7131.0,2021-05-01,3914.0,3914.0,22:00-23:00
1722.0,2021-05-01,770.0,770.0,08:00-09:00
39218.0,2021-05-01,18414.0,18414.0,09:00-10:00
153357.0,2021-05-01,75960.0,75960.0,10:00-11:00
240484.0,2021-05-01,122006.0,122006.0,11:00-12:00
245697.0,2021-05-01,131020.0,131020.0,12:00-13:00
189553.0,2021-05-01,105745.0,105745.0,13:00-14:00
150144.0,2021-05-01,85671.0,85671.0,14:00-15:00
133210.0,2021-05-01,76951.0,76951.0,15:00-16:00
91510.0,2021-05-01,54540.0,54540.0,16:00-17:00
45623.0,2021-05-01,27926.0,27926.0,17:00-18:00
23570.0,2021-05-01,14404.0,14404.0,18:00-19:00
16497.0,2021-05-01,9258.0,9258.0,19:00-20:00
11747.0,2021-05-01,6796.0,6796.0,21:00-22:00
11954.0,2021-05-01,7023.0,7023.0,20:00-21:00
135.0,2021-05-01,104.0,104.0,07:00-08:00
59515.0,2021-04-30,35612.0,35612.0,18:00-19:00
424894.0,2021-04-30,231115.0,231115.0,13:00-14:00
117053.0,2021-04-30,68991.0,68991.0,17:00-18:00
222953.0,2021-04-30,130615.0,130615.0,16:00-17:00
291474.0,2021-04-30,165846.0,165846.0,15:00-16:00
28835.0,2021-04-30,18584.0,18584.0,20:00-21:00
307565.0,2021-04-30,172403.0,172403.0,14:00-15:00
373030.0,2021-04-30,190266.0,190266.0,12:00-13:00
20230.0,2021-04-30,13205.0,13205.0,22:00-23:00
239082.0,2021-04-30,114112.0,114112.0,11:00-12:00
182172.0,2021-04-30,80146.0,80146.0,10:00-11:00
64678.0,2021-04-30,26097.0,26097.0,09:00-10:00
6019.0,2021-04-30,2168.0,2168.0,08:00-09:00
577.0,2021-04-30,238.0,238.0,07:00-08:00
25110.0,2021-04-30,15863.0,15863.0,21:00-22:00
38580.0,2021-04-30,24531.0,24531.0,19:00-20:00
271006.0,2021-04-29,146382.0,146382.0,13:00-14:00
273.0,2021-04-29,168.0,168.0,07:00-08:00
19159.0,2021-04-29,12118.0,12118.0,22:00-23:00
3192.0,2021-04-29,1388.0,1388.0,08:00-09:00
40191.0,2021-04-29,16941.0,16941.0,09:00-10:00
142604.0,2021-04-29,66054.0,66054.0,10:00-11:00
211764.0,2021-04-29,104443.0,104443.0,11:00-12:00
262431.0,2021-04-29,136550.0,136550.0,12:00-13:00
262116.0,2021-04-29,147069.0,147069.0,14:00-15:00
191218.0,2021-04-29,104801.0,104801.0,15:00-16:00
206405.0,2021-04-29,115800.0,115800.0,16:00-17:00
136892.0,2021-04-29,78176.0,78176.0,17:00-18:00
72186.0,2021-04-29,41774.0,41774.0,18:00-19:00
45567.0,2021-04-29,26915.0,26915.0,19:00-20:00
36440.0,2021-04-29,22726.0,22726.0,20:00-21:00
30309.0,2021-04-29,18840.0,18840.0,21:00-22:00
268752.0,2021-04-28,138119.0,138119.0,11:00-12:00
464.0,2021-04-28,228.0,228.0,07:00-08:00
54210.0,2021-04-28,22815.0,22815.0,09:00-10:00
172783.0,2021-04-28,82749.0,82749.0,10:00-11:00
307472.0,2021-04-28,168296.0,168296.0,12:00-13:00
293683.0,2021-04-28,167919.0,167919.0,13:00-14:00
254719.0,2021-04-28,149860.0,149860.0,14:00-15:00
223522.0,2021-04-28,128246.0,128246.0,15:00-16:00
65479.0,2021-04-28,37756.0,37756.0,16:00-17:00
105328.0,2021-04-28,60544.0,60544.0,17:00-18:00
58042.0,2021-04-28,34438.0,34438.0,18:00-19:00
41505.0,2021-04-28,25254.0,25254.0,19:00-20:00
27101.0,2021-04-28,16541.0,16541.0,20:00-21:00
20185.0,2021-04-28,13113.0,13113.0,21:00-22:00
19759.0,2021-04-28,12265.0,12265.0,22:00-23:00
3878.0,2021-04-28,1715.0,1715.0,08:00-09:00
514.0,2021-04-27,274.0,274.0,07:00-08:00
32497.0,2021-04-27,20727.0,20727.0,19:00-20:00
314764.0,2021-04-27,190809.0,190809.0,13:00-14:00
15746.0,2021-04-27,10568.0,10568.0,22:00-23:00
19194.0,2021-04-27,12284.0,12284.0,21:00-22:00
24202.0,2021-04-27,15105.0,15105.0,20:00-21:00
50866.0,2021-04-27,32382.0,32382.0,18:00-19:00
99763.0,2021-04-27,62504.0,62504.0,17:00-18:00
193504.0,2021-04-27,119085.0,119085.0,16:00-17:00
262830.0,2021-04-27,161780.0,161780.0,15:00-16:00
269138.0,2021-04-27,164177.0,164177.0,14:00-15:00
351014.0,2021-04-27,203421.0,203421.0,12:00-13:00
306054.0,2021-04-27,168833.0,168833.0,11:00-12:00
221315.0,2021-04-27,113550.0,113550.0,10:00-11:00
69290.0,2021-04-27,31517.0,31517.0,09:00-10:00
6044.0,2021-04-27,2670.0,2670.0,08:00-09:00
362099.0,2021-04-26,225748.0,225748.0,15:00-16:00
243698.0,2021-04-26,126566.0,126566.0,10:00-11:00
384831.0,2021-04-26,213517.0,213517.0,11:00-12:00
80429.0,2021-04-26,37202.0,37202.0,09:00-10:00
7843.0,2021-04-26,3329.0,3329.0,08:00-09:00
448466.0,2021-04-26,262223.0,262223.0,12:00-13:00
385437.0,2021-04-26,234554.0,234554.0,13:00-14:00
346700.0,2021-04-26,212839.0,212839.0,14:00-15:00
553.0,2021-04-26,199.0,199.0,07:00-08:00
357447.0,2021-04-26,228177.0,228177.0,16:00-17:00
195229.0,2021-04-26,124956.0,124956.0,17:00-18:00
89106.0,2021-04-26,55901.0,55901.0,18:00-19:00
34496.0,2021-04-26,23167.0,23167.0,21:00-22:00
56776.0,2021-04-26,36810.0,36810.0,19:00-20:00
40537.0,2021-04-26,25715.0,25715.0,20:00-21:00
25931.0,2021-04-26,17895.0,17895.0,22:00-23:00
9033.0,2021-04-25,6310.0,6310.0,21:00-22:00
6469.0,2021-04-25,4478.0,4478.0,22:00-23:00
117180.0,2021-04-25,82129.0,82129.0,13:00-14:00
114.0,2021-04-25,82.0,82.0,07:00-08:00
10284.0,2021-04-25,7265.0,7265.0,19:00-20:00
15298.0,2021-04-25,10582.0,10582.0,18:00-19:00
31504.0,2021-04-25,21696.0,21696.0,17:00-18:00
55923.0,2021-04-25,38941.0,38941.0,16:00-17:00
80485.0,2021-04-25,55904.0,55904.0,15:00-16:00
98967.0,2021-04-25,68650.0,68650.0,14:00-15:00
153993.0,2021-04-25,104093.0,104093.0,12:00-13:00
146256.0,2021-04-25,94411.0,94411.0,11:00-12:00
94906.0,2021-04-25,57260.0,57260.0,10:00-11:00
23640.0,2021-04-25,12950.0,12950.0,09:00-10:00
1097.0,2021-04-25,450.0,450.0,08:00-09:00
9095.0,2021-04-25,6814.0,6814.0,20:00-21:00
280612.0,2021-04-24,187189.0,187189.0,15:00-16:00
20062.0,2021-04-24,13579.0,13579.0,21:00-22:00
213.0,2021-04-24,54.0,54.0,07:00-08:00
2535.0,2021-04-24,849.0,849.0,08:00-09:00
53610.0,2021-04-24,24382.0,24382.0,09:00-10:00
176097.0,2021-04-24,92079.0,92079.0,10:00-11:00
338523.0,2021-04-24,199225.0,199225.0,11:00-12:00
380276.0,2021-04-24,237683.0,237683.0,12:00-13:00
316492.0,2021-04-24,206191.0,206191.0,13:00-14:00
292211.0,2021-04-24,190419.0,190419.0,14:00-15:00
205161.0,2021-04-24,137029.0,137029.0,16:00-17:00
97565.0,2021-04-24,66333.0,66333.0,17:00-18:00
50712.0,2021-04-24,34299.0,34299.0,18:00-19:00
31597.0,2021-04-24,21113.0,21113.0,19:00-20:00
23935.0,2021-04-24,16185.0,16185.0,20:00-21:00
17136.0,2021-04-24,11646.0,11646.0,22:00-23:00
